optimizer,accuracy,f1,precision,recall,roc_auc,log_loss,best_epoch
rmsprop,0.5398773006134969,0.2857142857142857,0.45454545454545453,0.20833333333333334,0.5508241758241758,0.6867138247887,1
adam,0.5644171779141104,0.3106796116504854,0.5161290322580645,0.2222222222222222,0.5384615384615384,0.6850197910909264,1
sgd,0.48466257668711654,0.5280898876404494,0.44339622641509435,0.6527777777777778,0.4958791208791209,0.6994446580528667,4
