number,roc_auc,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_units,params_learning_rate,params_optimizer,user_attrs_accuracy,user_attrs_best_epoch,user_attrs_f1,user_attrs_log_loss,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state,accuracy,f1,precision,recall,log_loss,best_epoch
19,0.4751221001221001,2026-04-07 08:16:13.698121,2026-04-07 08:16:18.127641,0 days 00:00:04.429520,128,0.0,64,0.0008985983196465636,sgd,0.4662576687116564,19,0.5245901639344263,0.7609108669682518,0.43243243243243246,0.6666666666666666,0.4751221001221001,COMPLETE,0.4662576687116564,0.5245901639344263,0.43243243243243246,0.6666666666666666,0.7609108669682518,19
20,0.46993284493284493,2026-04-07 08:16:18.127693,2026-04-07 08:16:21.586141,0 days 00:00:03.458448,32,0.4,256,0.002587852650836196,sgd,0.44785276073619634,4,0.5108695652173914,0.7140695857945492,0.41964285714285715,0.6527777777777778,0.46993284493284493,COMPLETE,0.44785276073619634,0.5108695652173914,0.41964285714285715,0.6527777777777778,0.7140695857945492,4
21,0.47909035409035405,2026-04-07 08:16:21.586192,2026-04-07 08:16:25.051417,0 days 00:00:03.465225,128,0.1,256,0.00019604306404869652,rmsprop,0.4662576687116564,8,0.48520710059171596,0.7783688942872278,0.422680412371134,0.5694444444444444,0.47909035409035405,COMPLETE,0.4662576687116564,0.48520710059171596,0.422680412371134,0.5694444444444444,0.7783688942872278,8
22,0.4661172161172161,2026-04-07 08:16:25.051469,2026-04-07 08:16:28.399382,0 days 00:00:03.347913,128,0.2,256,0.00016737832587771293,rmsprop,0.4171779141104294,2,0.5887445887445888,0.7431332401235864,0.4276729559748428,0.9444444444444444,0.4661172161172161,COMPLETE,0.4171779141104294,0.5887445887445888,0.4276729559748428,0.9444444444444444,0.7431332401235864,2
23,0.48061660561660563,2026-04-07 08:16:28.399436,2026-04-07 08:16:31.483248,0 days 00:00:03.083812,128,0.2,256,0.0004001583684384559,adam,0.44171779141104295,1,0.5882352941176471,0.732494733664623,0.436241610738255,0.9027777777777778,0.48061660561660563,COMPLETE,0.44171779141104295,0.5882352941176471,0.436241610738255,0.9027777777777778,0.732494733664623,1
24,0.48275335775335776,2026-04-07 08:16:31.483302,2026-04-07 08:16:35.410219,0 days 00:00:03.926917,128,0.1,256,0.0007886055760630471,sgd,0.4723926380368098,12,0.5904761904761905,0.7407460517617023,0.4492753623188406,0.8611111111111112,0.48275335775335776,COMPLETE,0.4723926380368098,0.5904761904761905,0.4492753623188406,0.8611111111111112,0.7407460517617023,12
25,0.47420634920634924,2026-04-07 08:16:35.410277,2026-04-07 08:16:38.907342,0 days 00:00:03.497065,128,0.2,256,0.00029618588813786693,rmsprop,0.43558282208588955,1,0.5576923076923077,0.7259173760104254,0.4264705882352941,0.8055555555555556,0.47420634920634924,COMPLETE,0.43558282208588955,0.5576923076923077,0.4264705882352941,0.8055555555555556,0.7259173760104254,1
26,0.48885836385836384,2026-04-07 08:16:38.907394,2026-04-07 08:16:42.052121,0 days 00:00:03.144727,32,0.0,64,0.00015105140699180628,sgd,0.5153374233128835,3,0.4697986577181208,0.7003254604790784,0.45454545454545453,0.4861111111111111,0.48885836385836384,COMPLETE,0.5153374233128835,0.4697986577181208,0.45454545454545453,0.4861111111111111,0.7003254604790784,3
27,0.5347985347985348,2026-04-07 08:16:42.052174,2026-04-07 08:16:45.051217,0 days 00:00:02.999043,64,0.4,32,0.0005693137786070545,sgd,0.5153374233128835,4,0.3969465648854962,0.6866838993910968,0.4406779661016949,0.3611111111111111,0.5347985347985348,COMPLETE,0.5153374233128835,0.3969465648854962,0.4406779661016949,0.3611111111111111,0.6866838993910968,4
28,0.5531135531135531,2026-04-07 08:16:45.051271,2026-04-07 08:16:52.978664,0 days 00:00:07.927393,64,0.4,32,0.0005832054128025955,sgd,0.5460122699386503,49,0.45588235294117646,0.6887258589687111,0.484375,0.4305555555555556,0.5531135531135531,COMPLETE,0.5460122699386503,0.45588235294117646,0.484375,0.4305555555555556,0.6887258589687111,49
29,0.469017094017094,2026-04-07 08:16:52.978723,2026-04-07 08:16:56.082620,0 days 00:00:03.103897,64,0.4,32,0.000953395336643865,sgd,0.4539877300613497,4,0.6147186147186147,0.7612561843692954,0.44654088050314467,0.9861111111111112,0.469017094017094,COMPLETE,0.4539877300613497,0.6147186147186147,0.44654088050314467,0.9861111111111112,0.7612561843692954,4
30,0.5065628815628815,2026-04-07 08:16:56.082672,2026-04-07 08:16:58.957388,0 days 00:00:02.874716,64,0.4,32,0.004964387531611309,sgd,0.49079754601226994,1,0.23853211009174313,0.6894567551352524,0.35135135135135137,0.18055555555555555,0.5065628815628815,COMPLETE,0.49079754601226994,0.23853211009174313,0.35135135135135137,0.18055555555555555,0.6894567551352524,1
31,0.5462454212454213,2026-04-07 08:16:58.957437,2026-04-07 08:17:02.326411,0 days 00:00:03.368974,64,0.4,32,0.0006006439639386229,sgd,0.4601226993865031,2,0.6140350877192983,0.7191874532810303,0.44871794871794873,0.9722222222222222,0.5462454212454213,COMPLETE,0.4601226993865031,0.6140350877192983,0.44871794871794873,0.9722222222222222,0.7191874532810303,2
32,0.5387667887667889,2026-04-07 08:17:02.326462,2026-04-07 08:17:05.333116,0 days 00:00:03.006654,64,0.4,32,0.0006789834842329068,sgd,0.5398773006134969,1,0.025974025974025976,0.6905624705164556,0.2,0.013888888888888888,0.5387667887667889,COMPLETE,0.5398773006134969,0.025974025974025976,0.2,0.013888888888888888,0.6905624705164556,1
33,0.552045177045177,2026-04-07 08:17:05.333169,2026-04-07 08:17:09.400159,0 days 00:00:04.066990,64,0.4,32,0.00046777029241673655,sgd,0.5521472392638037,12,0.1978021978021978,0.6845523432708372,0.47368421052631576,0.125,0.552045177045177,COMPLETE,0.5521472392638037,0.1978021978021978,0.47368421052631576,0.125,0.6845523432708372,12
