trial,learning_rate,batch_size,dropout_rate,hidden_units,optimizer,accuracy,f1,precision,recall,roc_auc,log_loss,best_epoch
35,0.00045560883012629716,128,0.5,64,rmsprop,0.5828220858895705,0.41379310344827586,0.5454545454545454,0.3333333333333333,0.5792124542124542,0.6803940952163497,4
6,0.00036550882535168946,16,0.3,256,adam,0.48466257668711654,0.5922330097087378,0.4552238805970149,0.8472222222222222,0.5590659340659341,0.6960999552593186,1
25,0.013001183608577252,16,0.1,256,adam,0.558282208588957,0.0,0.0,0.0,0.5419719169719169,0.6849800359480346,1
34,0.024139993549957484,32,0.5,64,rmsprop,0.6012269938650306,0.453781512605042,0.574468085106383,0.375,0.5409798534798534,0.6924064366648388,8
13,0.0002098124824725277,64,0.2,64,adam,0.5521472392638037,0.1411764705882353,0.46153846153846156,0.08333333333333333,0.536019536019536,0.6918198872361137,1
19,0.0055818755240997706,32,0.4,128,sgd,0.5337423312883436,0.5913978494623656,0.4824561403508772,0.7638888888888888,0.5323565323565324,0.7036882636928898,1
15,0.0054280216113378665,16,0.1,256,rmsprop,0.5153374233128835,0.07058823529411765,0.23076923076923078,0.041666666666666664,0.5274725274725275,3.4996706324617217,14
37,0.00017328944113758672,32,0.5,32,sgd,0.5398773006134969,0.4,0.4716981132075472,0.3472222222222222,0.5172466422466423,0.6898324142486695,1
3,0.00768131072552459,64,0.4,128,adam,0.4723926380368098,0.410958904109589,0.40540540540540543,0.4166666666666667,0.5169413919413919,0.6966691893238443,1
18,0.00010428869544814192,128,0.4,256,sgd,0.558282208588957,0.0,0.0,0.0,0.5143467643467643,0.6917440875378348,1
28,0.0010154756924502797,32,0.4,64,adam,0.50920245398773,0.5294117647058824,0.45918367346938777,0.625,0.509004884004884,0.6970678843989028,1
20,0.0025635447612937577,16,0.0,32,adam,0.4723926380368098,0.4880952380952381,0.4270833333333333,0.5694444444444444,0.5076312576312576,0.7070975737414573,1
21,0.004526006604630965,64,0.2,256,sgd,0.5460122699386503,0.38333333333333336,0.4791666666666667,0.3194444444444444,0.5073260073260073,0.691789925218791,1
5,0.003934884364228287,32,0.4,128,sgd,0.50920245398773,0.5555555555555556,0.46296296296296297,0.6944444444444444,0.5035103785103785,0.6980052024392963,1
17,0.004904831803531277,64,0.0,256,adam,0.49693251533742333,0.24074074074074073,0.3611111111111111,0.18055555555555555,0.503052503052503,1.8375100086437541,8
16,0.009851421362392669,128,0.2,256,adam,0.49693251533742333,0.4142857142857143,0.4264705882352941,0.4027777777777778,0.5024420024420024,1.950075695767405,11
9,0.008475206817188847,128,0.1,64,sgd,0.4723926380368098,0.5520833333333334,0.44166666666666665,0.7361111111111112,0.5010683760683761,0.7102008750510915,7
48,0.0016426336888765323,32,0.5,32,sgd,0.5153374233128835,0.44755244755244755,0.4507042253521127,0.4444444444444444,0.49954212454212454,0.7156712965857347,1
7,0.011223873601593699,32,0.3,32,rmsprop,0.4785276073619632,0.49101796407185627,0.43157894736842106,0.5694444444444444,0.49847374847374853,0.7024323412383456,1
39,0.0002740864828189009,32,0.5,32,rmsprop,0.5521472392638037,0.1797752808988764,0.47058823529411764,0.1111111111111111,0.498015873015873,0.7032501341700489,1
50,0.0019488062999481932,128,0.2,64,adam,0.5030674846625767,0.5030674846625767,0.45054945054945056,0.5694444444444444,0.49572649572649574,0.7031336794251432,1
22,0.00785226466910212,64,0.3,128,sgd,0.44171779141104295,0.5603864734299517,0.42962962962962964,0.8055555555555556,0.49404761904761907,0.7409968222070341,1
26,0.0004977623219584448,128,0.1,64,sgd,0.5705521472392638,0.47761194029850745,0.5161290322580645,0.4444444444444444,0.49267399267399264,0.6994518430762638,1
4,0.001305150456421843,64,0.2,32,rmsprop,0.43558282208588955,0.6068376068376068,0.4382716049382716,0.9861111111111112,0.4908424908424909,0.7277441194993765,1
47,0.008688205172154174,16,0.0,64,sgd,0.5030674846625767,0.4840764331210191,0.4470588235294118,0.5277777777777778,0.49007936507936506,0.7087839366844654,1
42,0.0010715325145259575,128,0.0,32,sgd,0.4662576687116564,0.6233766233766234,0.4528301886792453,1.0,0.4891636141636142,0.7311780529004411,3
31,0.00023839412421099515,32,0.4,64,sgd,0.49693251533742333,0.4225352112676056,0.42857142857142855,0.4166666666666667,0.4856532356532357,0.7021178937768818,1
49,0.0014889861538358027,128,0.1,256,adam,0.44785276073619634,0.55,0.4296875,0.7638888888888888,0.48519536019536025,0.7422297792191409,1
32,0.0008786901896921243,16,0.1,128,sgd,0.5276073619631901,0.36363636363636365,0.4489795918367347,0.3055555555555556,0.4844322344322344,0.6931442453498972,1
1,0.008263860513916883,64,0.2,64,rmsprop,0.5030674846625767,0.46357615894039733,0.4430379746835443,0.4861111111111111,0.4841269841269842,0.7034379526102438,1
10,0.00012838291704827254,64,0.0,128,rmsprop,0.44171779141104295,0.5955555555555555,0.43790849673202614,0.9305555555555556,0.4757326007326007,0.7551307877972177,1
27,0.0023979282499035554,64,0.4,256,sgd,0.4601226993865031,0.5643564356435643,0.43846153846153846,0.7916666666666666,0.47466422466422464,0.7271449946642822,5
38,0.00031716013359270095,64,0.1,256,sgd,0.5153374233128835,0.3008849557522124,0.4146341463414634,0.2361111111111111,0.4743589743589744,0.692863475017654,1
36,0.00596793280835246,128,0.2,128,adam,0.4785276073619632,0.46540880503144655,0.42528735632183906,0.5138888888888888,0.4742063492063492,0.8920926145792294,5
43,0.0006563057665928166,64,0.0,128,adam,0.43558282208588955,0.5660377358490566,0.42857142857142855,0.8333333333333334,0.4735958485958486,0.7368117637525982,1
30,0.0013935607445696007,64,0.0,256,sgd,0.48466257668711654,0.5384615384615384,0.44545454545454544,0.6805555555555556,0.4732905982905983,0.7397586748614489,17
44,0.0028553993739451854,128,0.1,64,rmsprop,0.44785276073619634,0.5054945054945055,0.41818181818181815,0.6388888888888888,0.47268009768009767,0.7540228513376919,1
23,0.0024278616977038226,128,0.1,128,adam,0.4601226993865031,0.4883720930232558,0.42,0.5833333333333334,0.47206959706959706,0.732252129792951,2
41,0.0027982176630095066,16,0.3,128,adam,0.48466257668711654,0.4878048780487805,0.43478260869565216,0.5555555555555556,0.47176434676434675,0.734292645144899,1
29,0.0001138310020903095,16,0.0,256,rmsprop,0.44785276073619634,0.55,0.4296875,0.7638888888888888,0.4681013431013431,0.7082367230976122,1
2,0.005339064495628299,16,0.0,128,rmsprop,0.49693251533742333,0.36923076923076925,0.41379310344827586,0.3333333333333333,0.4652014652014652,0.8530576421587258,3
14,0.004562579900326138,128,0.2,32,rmsprop,0.4601226993865031,0.4634146341463415,0.41304347826086957,0.5277777777777778,0.46382783882783885,0.7042765256296765,3
12,0.0008273201686946542,16,0.2,256,adam,0.4723926380368098,0.47560975609756095,0.42391304347826086,0.5416666666666666,0.46336996336996333,0.7241428539938175,1
33,0.0007875057034676225,128,0.0,64,adam,0.44785276073619634,0.47674418604651164,0.41,0.5694444444444444,0.46321733821733824,0.7551516065874545,1
11,0.006996263631763537,32,0.5,64,adam,0.4601226993865031,0.5,0.4230769230769231,0.6111111111111112,0.45909645909645913,0.7226483434810885,2
45,0.0027501659418059203,32,0.2,128,sgd,0.44785276073619634,0.4375,0.3977272727272727,0.4861111111111111,0.4584859584859585,0.8187917098722988,29
40,0.006056154976162101,64,0.2,64,sgd,0.43558282208588955,0.603448275862069,0.4375,0.9722222222222222,0.4581807081807082,0.7522160944008238,1
8,0.0007554466697056654,16,0.5,64,rmsprop,0.4662576687116564,0.48520710059171596,0.422680412371134,0.5694444444444444,0.45726495726495725,0.7234120310427188,7
46,0.00011389061906619152,16,0.5,64,sgd,0.44171779141104295,0.48,0.4077669902912621,0.5833333333333334,0.4552808302808303,0.7547105827692461,29
24,0.0012072631015290986,128,0.1,64,sgd,0.43558282208588955,0.5929203539823009,0.43506493506493504,0.9305555555555556,0.4410866910866911,0.7643084481544339,4
