method,trials,runtime_seconds,best_val_accuracy,best_val_f1,best_val_roc_auc,best_hidden_units,best_dropout_rate,best_optimizer,best_batch_size,best_learning_rate
Random Search,50,173.19797635199984,0.6012269938650306,0.6233766233766234,0.5792124542124542,64,0.5,rmsprop,128,0.00045560883012629716
Bayesian Optimization (Optuna),50,188.04687966999995,0.5644171779141104,0.6233766233766234,0.5694444444444444,256,0.2,sgd,128,0.00019746733539895237
