setting,dropout_rate,weight_decay,lr_schedule,accuracy,f1,precision,recall,roc_auc,log_loss,best_epoch
Dropout + weight decay + LR schedule,0.2,0.0001,True,0.49693251533742333,0.5638297872340425,0.45689655172413796,0.7361111111111112,0.5393772893772893,0.6949038394686009,2
Dropout only,0.2,0.0,False,0.5337423312883436,0.36666666666666664,0.4583333333333333,0.3055555555555556,0.5167887667887667,0.6897250597919788,1
"No dropout, no weight decay, no LR schedule",0.0,0.0,False,0.4723926380368098,0.6055045871559633,0.4520547945205479,0.9166666666666666,0.5144993894993894,0.7114640451579562,6
Dropout + weight decay,0.2,0.0001,False,0.5276073619631901,0.6350710900473934,0.48201438848920863,0.9305555555555556,0.5032051282051282,0.702360276469287,1
Weight decay only,0.0,0.0001,False,0.44171779141104295,0.6127659574468085,0.44171779141104295,1.0,0.44352869352869356,0.7442687375010775,15
